Timestamp,Pista,Equipe,Piloto,Volta,Tempo,Media_3_Voltas,Consumo_Volta,Combustivel_Restante,Pos_Geral,Pos_Classe,Voltas_Restantes_Estimadas
15:37:57,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,6,11.117,11.117,0.0,23.814,1,1,54402.68
15:38:18,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,7,11.117,11.117,0.017,23.798,1,1,54402.68
15:38:29,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,8,10.224,10.819,0.037,23.761,1,1,55899.07
15:38:39,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,9,10.216,10.519,0.035,23.726,1,1,57494.68
15:38:50,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,10,10.216,10.219,0.044,23.682,1,1,59184.07
15:39:02,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,11,12.296,10.91,0.041,23.641,1,1,55437.24
15:39:10,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,12,12.296,11.603,0.012,23.63,1,1,52124.6
15:39:19,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,13,7.768,10.787,0.035,23.594,1,1,56067.66
15:39:29,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,14,9.573,9.879,0.033,23.562,1,1,61218.71
15:39:36,Centripetal Circuit,Tomaz Nunes,Tomaz Nunes,15,6.539,7.96,0.01,23.551,1,1,75977.35
